Country/Region,Maize_Domestic Utilization,Maize_Opening Stocks,Maize_Production,Rice_Domestic Utilization,Rice_Opening Stocks,Rice_Production,Soybean_Domestic Utilization,Soybean_Opening Stocks,Soybean_Production,Wheat_Domestic Utilization,Wheat_Opening Stocks,Wheat_Production
Argentina,2.5,11.72,32.1,0.08,0.5,1.06,9.9,41.47,53.4,2.6,5.39,9.2
Australia,0.06,0.4,0.51,0.2,0.29,0.77,0,0.03,0.03,5.6,6.79,25.3
Brazil,9,53.48,80.54,0.74,8.61,8.04,8.56,39.49,86.17,1.9,11.25,5.72
Canada,1.6,12.77,14.19,0.06,0.38,0,0.25,2.19,5.36,10.4,9.17,37.59
China,147.58,227.65,248.45,83,140.05,141.31,14.2,81.8,11.95,57.28,126.05,123.71
Egypt,1.5,15.26,7.96,1,4.37,5.09,0.04,1.83,0.03,4,19.69,9.46
European Union,8,78.27,67.05,0.47,3.13,1.76,1,14.73,1.22,12.12,113.35,144.26
India,2.54,19.8,24.26,25.6,95.46,106.65,0.79,12.2,11.86,21,91,93.51
Indonesia,3,21.69,18.51,7.45,38.55,37.7,0.12,2.68,0.78,1.1,7.15,0
Japan,1.5,14.47,0,3.57,8.46,7.9,0.21,2.83,0.2,1.41,6.76,0.81
Kazakhstan,0.04,0.55,0.57,0.03,0.21,0.23,0.04,0.23,0.2,3.19,7.07,13.94
Mexico,2.2,32.41,22.66,0.04,0.79,0.13,0.36,3.87,0.24,0.65,6.8,3.36
Nigeria,0.01,8.79,8.42,1,6.39,3.49,0.01,0.52,0.52,0.22,4.36,0.08
Philippines,0.65,7.68,7.38,2.02,13.6,12.31,0,0.09,0,0.5,3.57,0
Republic of Korea,1.82,9.89,0.08,1.7,4.33,4.23,0.11,1.37,0.15,0.7,4.21,0.02
Russian Federation,0.51,7.52,11.63,0.1,0.75,0.62,0.2,3.35,1.52,4.4,34.26,52.14
Saudi Arabia,0.15,2.6,0.1,0.21,1.31,0,0,0.5,0,2.71,3.31,0.66
South Africa,0.59,11.16,12.49,0.3,1.1,0,0.06,0.79,0.79,0.49,3.28,1.88
Thailand,0.2,4.11,4.88,19.6,14,24.34,0.01,1.92,0.05,0.5,2.12,0
Turkey,0.9,6.46,5.9,0.15,0.76,0.54,0.15,1.66,0.18,5.14,21.95,22.05
Ukraine,4.97,9.2,30.95,0.03,0.14,0.1,0.17,1.43,2.66,4.2,11.58,22.28
United States of America,31.29,292.96,351.27,1.02,3.98,6.12,2.5,50.1,91.39,16.07,34.26,58.1
Viet Nam,0.6,8.81,5.19,3.01,20.97,28.63,0.05,1.45,0.17,0.35,2.4,0
