Country/Region,Maize_Closing Stocks,Maize_Domestic Utilization,Maize_Production,Rice_Closing Stocks,Rice_Domestic Utilization,Rice_Production,Soybean_Closing Stocks,Soybean_Domestic Utilization,Soybean_Production,Wheat_Closing Stocks,Wheat_Domestic Utilization,Wheat_Production
Argentina,9,22,43.46,0.21,0.55,0.93,13,48.61,55.3,2.6,6.15,19.46
Australia,0.05,0.32,0.39,0.25,0.38,0.42,0,0.04,0.04,4.27,9.12,17.6
Brazil,14,60.5,80.71,0.46,7.69,8.2,5.3,46.55,119.72,2.08,12.32,5.43
Canada,1.98,15.33,13.88,0.03,0.39,0,0.7,2.86,7.42,6.04,8.56,32.35
China,161.22,281.74,257.17,105.4,146.23,145.31,11,100.95,15.97,115.36,129.76,131.44
Egypt,1.4,16.92,7.3,0.44,4.05,2.52,0.22,3.61,0.03,3.12,20.9,8.35
European Union,20,86.71,69.34,0.53,3.59,1.72,2.14,17.96,2.83,13.93,127.2,138.07
India,2.9,27,27.71,29.2,98.67,116.48,0.93,12.3,13.27,19.5,97.89,99.87
Indonesia,2.2,22.42,21.66,8.1,38.55,37.9,0.1,3.22,0.65,1.2,11.03,0
Japan,1.7,15.93,0,3.08,7.91,7.44,0.2,3.46,0.21,1.4,6.34,0.77
Kazakhstan,0.11,0.79,0.86,0.06,0.24,0.32,0.02,0.27,0.26,3.37,6.41,13.95
Mexico,5.8,43.18,27.17,0.12,0.88,0.18,1.17,6.45,0.34,1.2,7.35,2.94
Nigeria,0.5,12.87,12.76,1.1,7.63,5.04,0.02,0.77,0.67,0.28,5.14,0.07
Philippines,1.07,8.44,7.77,2.63,14.88,12.18,0.03,0.27,0,1.8,6.29,0
Republic of Korea,0.56,10.7,0.08,1.02,4.75,3.87,0.03,1.44,0.1,1,3.69,0.03
Russian Federation,1.7,8.05,11.42,0.07,0.77,0.69,0.7,5.49,4.33,9.01,43.68,72.14
Saudi Arabia,0.25,3.96,0.08,0.17,1.31,0,0,0.65,0,2.38,3.61,0.01
South Africa,2.67,12.49,13.1,0.16,0.93,0,0.5,1.34,1.54,0.51,3.34,1.87
Thailand,0.75,5.11,5.04,5,12.17,21.41,0.06,2.95,0.04,1.7,2.96,0
Turkey,1,8.71,5.7,0.05,0.79,0.56,0.2,2.69,0.14,4.5,22.1,20
Ukraine,3.33,6.67,35.8,0.01,0.12,0.05,0.29,1.78,4.46,2.56,8.56,24.61
United States of America,56.41,310.45,364.26,1.42,4.57,7.11,24.74,60.4,120.52,29.39,29.99,51.31
Viet Nam,1.11,14.41,4.87,3.89,22.07,28.63,0.32,1.99,0.08,0.8,3.62,0
