Country/Region,Maize_Closing Stocks,Maize_Domestic Utilization,Maize_Production,Rice_Closing Stocks,Rice_Domestic Utilization,Rice_Production,Soybean_Closing Stocks,Soybean_Domestic Utilization,Soybean_Production,Wheat_Closing Stocks,Wheat_Domestic Utilization,Wheat_Production
Argentina,7.4,18.492,44.712,0.232,0.544,0.93,13.98,47.646,51.136,2.09,5.874,17.482
Australia,0.054,0.348,0.41,0.21,0.31,0.328,0.004,0.04,0.044,4.186,8.3,21.422
Brazil,13.298,58.31,85.444,0.446,7.704,7.878,7.082,45.588,115.71,1.852,11.858,5.436
Canada,2.34,13.746,13.79,0.044,0.39,0,0.54,2.804,6.868,6.026,8.914,31.038
China,175.296,270.868,261.124,102.16,145.444,144.898,14.66,104.684,15.062,105.524,124.024,133.054
Egypt,1.5,16.7,7.314,0.886,4.588,4.38,0.178,2.846,0.032,3.96,20.906,8.944
European Union,14,80.036,65.42,0.546,3.504,1.758,1.852,17.132,2.608,15.516,126.95,150.254
India,2.594,26.26,26.74,24.934,98.32,112.444,0.592,11.388,11.432,19.2,96.72,96.16
Indonesia,1.92,22.334,20.946,7.02,38.434,37.14,0.09,3.128,0.614,1.116,10.326,0
Japan,1.832,15.652,0,3.148,8.238,7.552,0.25,3.456,0.232,1.516,6.332,0.902
Kazakhstan,0.138,0.762,0.806,0.05,0.24,0.32,0.018,0.258,0.25,3.552,6.668,13.788
Mexico,5.21,40.794,27.02,0.098,0.858,0.172,0.804,5.33,0.376,1.07,7.394,3.45
Nigeria,0.45,12.02,11.768,0.886,7.318,4.806,0.012,0.734,0.686,0.262,4.872,0.064
Philippines,0.882,8.252,7.68,2.36,14.15,12.164,0.014,0.162,0,1.12,5.796,0
Republic of Korea,1.146,10.31,0.076,1.62,4.59,4.022,0.018,1.42,0.094,0.94,3.938,0.032
Russian Federation,1.42,8.692,13.484,0.104,0.772,0.708,0.596,4.588,3.646,10.656,41.588,73.55
Saudi Arabia,0.232,3.954,0.084,0.29,1.32,0,0.002,0.622,0,2.872,3.584,0.048
South Africa,2.396,11.808,12.26,0.134,0.912,0,0.23,1.23,1.168,0.562,3.284,1.658
Thailand,0.72,4.84,4.68,7.098,12.972,20.276,0.102,3.01,0.048,1.64,3.452,0
Turkey,1.08,8.236,6.08,0.078,0.788,0.56,0.29,2.65,0.148,5.112,22.24,20.74
Ukraine,3.534,7.116,29.55,0.01,0.122,0.042,0.182,1.466,4.054,2.634,9.082,26.346
United Kingdom,0,0,0,0,0,0,0.06,-0.06,0,0,0,0
United States of America,52.382,309.33,362.322,1.24,4.254,6.38,12.9,58.26,112.206,29.192,30.696,54.044
Viet Nam,1.268,14.196,5.056,3.478,21.984,28.41,0.296,1.81,0.112,0.756,3.862,0
