Country/Region,Maize_Domestic Utilization,Maize_Opening Stocks,Maize_Production,Rice_Domestic Utilization,Rice_Opening Stocks,Rice_Production,Soybean_Domestic Utilization,Soybean_Opening Stocks,Soybean_Production,Wheat_Domestic Utilization,Wheat_Opening Stocks,Wheat_Production
Argentina,4,14.4,33,0.15,0.51,1.07,15,44.8,61.4,5.8,5.6,13.93
Australia,0.06,0.33,0.39,0.19,0.29,0.55,0,0.03,0.04,5.62,7.15,23.74
Brazil,15,53.7,79.88,0.59,8.14,8.24,8.58,43.08,97.09,1.35,11.28,6.66
Canada,1.4,12.98,11.61,0.07,0.38,0,0.47,2.14,6.05,7.1,8.74,29.44
China,175.94,226.91,249.76,89.5,142.49,143.58,16.2,88.35,12.15,62.68,124.73,128.82
Egypt,1.5,15.86,8.06,1.04,4.54,4.95,0.07,1.94,0.04,4.19,20.28,9.28
European Union,12,78.71,77.96,0.44,3.2,1.72,1.2,14.27,1.83,14.19,126.24,157.39
India,2.81,22.7,24.17,21.9,96.97,105.48,0.8,10.14,10.37,23,90.5,95.85
Indonesia,2.7,22.52,19.01,7,38.5,37.05,0.23,3.11,0.96,0.9,7.86,0
Japan,1.59,14.63,0,3.52,8.48,7.82,0.19,3.08,0.23,1.69,6.4,0.85
Kazakhstan,0.11,0.6,0.66,0.04,0.21,0.25,0.03,0.24,0.22,4.03,7,13
Mexico,2.5,33.49,23.27,0.06,0.81,0.18,0.36,4.16,0.34,0.75,7.06,3.67
Nigeria,0.5,9.78,10.06,1.5,6.81,4.01,0.02,0.68,0.68,0.37,4.54,0.09
Philippines,0.8,8.14,7.77,2.57,13.58,12.37,0.01,0.1,0,0.8,4.75,0
Republic of Korea,1.83,10.25,0.08,2.08,4.31,4.24,0.03,1.45,0.14,0.6,4,0.02
Russian Federation,0.7,8.1,11.33,0.06,0.73,0.7,0.18,3.9,2.36,8.2,33.9,59.71
Saudi Arabia,0.2,2.73,0.08,0.27,1.36,0,0,0.5,0,3.71,3.4,0.72
South Africa,2.07,11.35,14.93,0.2,0.9,0,0.06,1.03,0.95,0.6,3.19,1.76
Thailand,0.7,4.09,4.73,16.3,13.97,20.93,0.14,2.35,0.05,0.95,3.03,0
Turkey,1,7.6,5.95,0.16,0.77,0.5,0.36,2.12,0.15,5.08,21.7,19
Ukraine,5.87,8.79,28.5,0.03,0.13,0.03,0.17,1.39,3.87,5.26,11.83,24.11
United States of America,43.97,301.79,361.09,1.55,4.3,7.11,5.2,54.95,106.88,20.48,31.33,55.15
Viet Nam,1,10.3,5.2,3.32,21.52,29.23,0.24,1.45,0.16,0.2,2.41,0
