Country/Region,Maize_Closing Stocks,Maize_Domestic Utilization,Maize_Production,Rice_Closing Stocks,Rice_Domestic Utilization,Rice_Production,Soybean_Closing Stocks,Soybean_Domestic Utilization,Soybean_Production,Wheat_Closing Stocks,Wheat_Domestic Utilization,Wheat_Production
Argentina,9,19.76,57,0.12,0.52,0.81,11.9,46.44,48.8,3,6.6,19.75
Australia,0.05,0.28,0.33,0.17,0.25,0.04,0,0.03,0.03,1.68,8.65,14.48
Brazil,14,62,100.04,0.35,7.03,7.13,0.8,47.36,124.84,1.19,12.74,5.15
Canada,2.56,14.22,13.4,0.05,0.41,0,0.62,2.89,6.14,5.5,9.01,32.67
China,148.28,281.3,260.78,104.2,145.08,143.58,19.4,108.13,18.09,126.64,127.7,133.59
Egypt,1.5,15.6,5.11,0.67,4.5,4.46,0.3,4.26,0.03,2.94,21.27,9
European Union,16,88.88,70.31,0.49,3.94,1.74,1.8,18.43,2.69,13.76,122.64,155.7
India,2.75,29,28.77,35.3,100.27,118.87,0.79,11.79,11.23,25,97.61,103.6
Indonesia,1.9,23.89,22.59,6.1,37.4,34.96,0.02,3.2,0.42,1.1,11.09,0
Japan,2.15,16.42,0,3.2,7.91,7.39,0.3,3.48,0.22,1.25,6.29,1.04
Kazakhstan,0.13,0.81,0.9,0.07,0.27,0.37,0.01,0.28,0.28,3.4,6.14,11.45
Mexico,5.65,42.88,27.23,0.13,0.91,0.17,1.1,6.31,0.26,1.15,7.75,3.24
Nigeria,0.3,12.81,12.6,0.4,7.13,5.06,0.01,0.78,0.7,0.05,5.11,0.06
Philippines,0.95,8.49,7.98,2.1,15.48,12.38,0.02,0.19,0,1.4,6.54,0
Republic of Korea,0.53,10.9,0.08,0.95,4.16,3.74,0.01,1.42,0.11,1.1,3.74,0.02
Russian Federation,1.8,10.05,14.28,0.14,0.8,0.73,1.09,4.68,4.36,6.39,43.18,74.45
Saudi Arabia,0.25,4.61,0.09,0.17,1.26,0,0.01,0.89,0,2.39,3.64,0.2
South Africa,1.8,11.84,11.81,0.1,0.92,0,0.14,1.54,1.17,0.41,3.42,1.53
Thailand,0.8,5.86,4.31,6.08,12.26,18.95,0.2,3.75,0.04,1.8,3.35,0
Turkey,1.5,9.04,6,0.07,0.8,0.6,0.35,3.08,0.14,6.98,23.7,19
Ukraine,2.2,6.67,35.88,0.01,0.14,0.04,0.15,1.44,3.7,1.45,8.41,28.33
United Kingdom,0,0,0,0,0,0,0.3,-0.3,0,0,0,0
United States of America,48.76,309.55,345.96,0.91,4.59,5.88,14.28,61.85,96.67,27.98,30.44,52.58
Viet Nam,0.84,16.07,4.76,3.43,22.02,28.27,0.31,1.85,0.08,0.76,3.31,0
