,Country/Region,Maize_Closing Stocks,Maize_Domestic Utilization,Maize_Production,Rice_Closing Stocks,Rice_Domestic Utilization,Rice_Production,Soybean_Closing Stocks,Soybean_Domestic Utilization,Soybean_Production,Wheat_Closing Stocks,Wheat_Domestic Utilization,Wheat_Production,class
0,Argentina,-0.556598448,0.131415641,1.933121601,-0.886746216,-0.863482431,-0.848138232,-0.536799482,1.433197695,1.522293044,-0.828834239,-0.576397415,0.076968483,4
1,Australia,-0.440505879,-0.402278928,-0.395111375,-0.426170772,-0.40347352,-0.396305967,-0.44647884,-0.439311287,-0.439311287,0.071974181,0.537865144,3.17910853,1
2,Brazil,-0.446436563,0.766975234,1.676178361,-0.778242222,-0.632983651,-0.634481162,-0.647530901,0.302318953,2.291869325,-0.765192483,-0.522381765,-0.610093126,4
3,Canada,-0.56770469,0.756549536,0.751148825,-0.789133823,-0.74700828,-0.794534533,-0.756729559,-0.535300427,-0.103243583,-0.254463479,0.260764308,2.779655706,1
4,China,0.189560212,1.991773019,1.694788655,-0.511018287,0.079269865,0.058963242,-1.532695266,-0.320897528,-1.548179066,-0.008048615,-0.035081807,-0.058434423,3
5,Egypt,-0.686860747,1.68611297,0.199249692,-0.844558367,-0.1957453,-0.326409043,-0.906135533,-0.28135258,-0.921154354,-0.562204532,2.339431683,0.499626112,0
6,European Union,-0.509346757,0.975165133,0.788852569,-0.815653484,-0.753549296,-0.791033609,-0.798796633,-0.433047326,-0.760203316,-0.492711707,1.465788216,2.124536209,1
7,India,-1.06795712,-0.443336084,-0.373104625,-0.212889109,1.257801532,1.731863879,-1.076516579,-0.790762331,-0.798882844,-0.680367257,1.216101603,1.238048934,2
8,Indonesia,-0.756262426,0.914182069,0.824194339,-0.536964597,1.814059366,1.767175003,-0.874229534,-0.633758122,-0.82810137,-0.748700432,-0.049215978,-0.892378319,2
9,Japan,-0.395853218,2.594780171,-0.929066923,-0.164021172,0.932544404,0.747078767,-0.910520359,-0.129246365,-0.871108912,-0.66246007,0.496700158,-0.70882648,0
10,Kazakhstan,-0.442859822,-0.371008755,-0.333752645,-0.581239657,-0.509388589,-0.498743986,-0.575917355,-0.501405137,-0.51204974,0.299601212,1.10060756,2.926156913,1
11,Mexico,-0.337507498,2.783281007,1.434792147,-0.606434704,-0.541707239,-0.601040749,-0.572529842,-0.095550068,-0.591793968,-0.499326161,-0.023887517,-0.348295408,3
12,Nigeria,-0.830716094,1.879319011,1.83595845,-0.726650746,0.797472997,0.292322453,-0.850228347,-0.687626241,-0.700634409,-0.700634409,0.528637515,-0.837220179,3
13,Philippines,-0.732903067,0.765490073,0.637578463,-0.449670218,2.108561972,1.525650495,-0.875433146,-0.838886972,-0.879087764,-0.641537632,0.259325561,-0.879087764,2
14,Republic of Korea,-0.417771647,2.953213367,-0.711034995,-0.306640273,0.474366328,0.431148572,-0.738817839,-0.30355329,-0.70486103,-0.430119577,0.486714259,-0.732643874,0
15,Russian Federation,-0.525947586,-0.177589979,-0.024713619,-0.647496823,-0.61700509,-0.624105905,-0.603221156,-0.405233739,-0.438231642,-0.00884121,1.173235562,2.899151187,1
16,Saudi Arabia,-0.559882539,1.913780314,-0.758386348,-0.521708729,0.127246032,-0.827099205,-0.827099205,-0.216318254,-0.827099205,0.722757459,2.104649362,-0.330839682,0
17,South Africa,0.075617766,1.813084049,2.461236332,-0.727254739,-0.553717193,-0.748162878,-0.706346601,-0.363453135,-0.352999066,-0.643622187,0.03380149,-0.288183838,3
18,Thailand,-0.756801205,0.202313193,-0.039042897,0.528853786,1.308134235,2.568549374,-0.827788291,-0.214144374,-0.853028143,-0.670039212,-0.387668361,-0.859338106,2
19,Turkey,-0.642759385,0.389785812,0.131649513,-0.762792764,-0.658247563,-0.693095964,-0.743432542,-0.366553545,-0.753757994,-0.016778859,2.370981909,1.745001383,1
20,Ukraine,1.255558826,-0.114253096,2.016429313,-0.92290772,-0.91433108,-0.92290772,-0.752600155,-0.726870235,-0.605572042,0.101388136,0.059730171,1.526335602,1
21,United Kingdom,-0.513513846,-0.151149963,-0.557076718,-0.537275413,-0.438268887,-0.563017109,-0.533315152,-0.420447712,-0.563017109,-0.147189701,2.308172135,2.116099475,1
22,United States of America,-0.40923377,1.894313885,2.384106147,-0.699471681,-0.669328028,-0.659729212,-0.659729212,-0.169768549,0.318676511,-0.565004045,-0.45419665,-0.310635397,3
23,Viet Nam,-0.702927053,0.849602937,-0.273710893,-0.319119152,1.771823049,2.272395045,-0.707251649,-0.524537465,-0.738604971,-0.578594916,-0.302901917,-0.746173014,2
