Country/Region,Maize_Domestic Utilization,Maize_Opening Stocks,Maize_Production,Rice_Domestic Utilization,Rice_Opening Stocks,Rice_Production,Soybean_Domestic Utilization,Soybean_Opening Stocks,Soybean_Production,Wheat_Domestic Utilization,Wheat_Opening Stocks,Wheat_Production
Argentina,29.83,30.01,119,0.63,0.7,1.82,51.84,58.2,88.2,7.9,9.3,39.7
Australia,0.27,0.32,0.63,0.45,0.52,0.34,0.04,0.05,0.08,13.75,10.29,69.69
Brazil,80,85.88,189.58,8.08,7.67,15.6,52.01,49.97,262.42,12.8,13.07,13.91
Canada,16.07,20.06,27.54,0.48,0.47,0,3.01,3.14,12.63,12.5,13.69,56.83
China,443.11,440.18,533.22,248.94,255.69,290.92,133.96,132.2,36,275.97,269.44,271.2
Egypt,19.07,18.15,15.08,5.29,5.42,8.66,4.21,4.3,0.07,23.52,24.35,18
European Union,95.5,97.85,140.92,3.54,3.56,3.33,18.96,18.36,5.28,122.72,116.22,265.68
India,31.21,32.55,64.83,141.19,141.41,252.31,13.98,14.97,26.44,126.33,130.58,217.45
Indonesia,25.3,25.64,45.2,41.24,41.86,69.83,3.19,3.21,1.27,11.65,11.56,0
Japan,17.45,18.01,0,11.28,11.16,14.78,3.56,3.78,0.47,7.22,7.53,2.05
Kazakhstan,1.28,0.94,2.09,0.32,0.36,0.71,0.35,0.33,0.56,9.83,9.68,26.07
Mexico,48.75,50.23,54.9,1.03,1.07,0.38,7.14,7.78,0.55,8.77,8.67,6.27
Nigeria,12.88,12.86,24.85,7.61,7.73,9.91,0.77,0.77,1.4,6.32,6.25,0.13
Philippines,9.64,9.81,16.33,17.52,18.08,25.95,0.22,0.23,0,7.34,7.63,0
Republic of Korea,12.2,12.33,0.18,5.15,4.92,7.39,1.39,1.41,0.22,5.04,5.42,0.04
Russian Federation,13.46,12.58,29.12,0.93,0.96,1.48,6.49,6.81,9.04,53.94,50.07,161.96
Saudi Arabia,3.73,3.64,0.18,1.63,1.39,0,0.76,0.76,0,5.61,6.15,1
South Africa,15.91,14.32,32.92,0.99,1.01,0,1.62,1.88,3.15,4.06,4.19,4.41
Thailand,7.4,7.18,9.6,22.57,19.96,42.99,3.99,4.09,0.08,4.61,5.14,0
Turkey,9.23,10.7,13.3,0.9,0.88,1.19,3.21,3.41,0.28,29.9,31.23,38.2
Ukraine,22,8.81,72.4,0.14,0.07,0.07,2.54,1.53,6.21,14.56,9.6,57.03
United Kingdom,2.83,2.43,0.06,0.71,0.72,0,0.94,1.09,0,15.06,17.13,23.65
United States of America,344.25,364.75,742.39,6.04,5.59,13.31,66.64,77.75,235.46,48.3,58.62,94.54
Viet Nam,17.1,14.89,8.98,26.12,26.64,56.31,2.25,2.39,0.14,4.9,4.88,0
