Country/Region,Maize_Closing Stocks,Maize_Domestic Utilization,Maize_Production,Rice_Closing Stocks,Rice_Domestic Utilization,Rice_Production,Soybean_Closing Stocks,Soybean_Domestic Utilization,Soybean_Production,Wheat_Closing Stocks,Wheat_Domestic Utilization,Wheat_Production
Argentina,47.8,135.96,356.34,1.51,5.04,9.89,107.58,438.08,508.78,23.36,54.06,149.42
Australia,0.57,3.45,4.09,1.77,2.95,4.18,0.02,0.45,0.5,54.69,74.5,236.33
Brazil,107.99,540.96,771.27,8.43,79.8,80.75,74.22,424.56,985.01,16.19,114.81,55.68
Canada,18.87,129.89,131.21,0.53,3.81,0,4.11,24.25,59.59,66.03,87.9,298.06
China,1520.66,2408.64,2435.46,887.9,1411.24,1424.92,151.2,910.03,142.02,802.49,1232.48,1275.11
Egypt,13.3,154.43,74.6,7.97,43.34,43.55,1.49,23.25,0.33,42.03,199.73,87.84
European Union,115.6,761.74,654.06,5.14,32.95,17.96,13.96,155.18,19.69,134.09,1244.14,1459.24
India,24.47,226.6,247.88,245.17,962.7,1080.87,7.34,118.49,119.01,202.5,911.72,932.71
Indonesia,23.3,216.58,197.61,70.05,383.22,371.65,1.18,29.5,7.41,10.53,85.59,0
Japan,16.2,153.62,0,32.92,83.11,76.86,1.83,32.48,2.27,15.05,64.43,8.35
Kazakhstan,0.96,6.37,6.72,0.49,2.25,2.79,0.26,2.31,2.1,41.09,68.26,138.09
Mexico,35.95,356.44,244.04,0.76,8.19,1.55,5.19,45.91,3.06,8.2,71.65,34.86
Nigeria,3.81,104.21,102.58,10.08,66.2,40.24,0.12,6.8,6.58,2.43,45.63,0.87
Philippines,6.69,78.48,74.31,23.52,136.25,119.42,0.08,1.15,0,8.7,47.93,0
Republic of Korea,13.56,96.2,0.76,16.17,45.45,41.1,0.35,14.2,1.11,9.1,42.56,0.32
Russian Federation,10.03,70.97,105.6,0.84,7.5,6.97,3.82,37.27,26.9,95.99,386.18,615.07
Saudi Arabia,1.66,31.26,0.86,3.06,12.99,0,0.01,4.26,0,27.79,34.78,5
South Africa,19.4,113.22,125.82,1.5,9.01,0,1.62,9.58,9.51,5.52,32.31,17.26
Thailand,5.8,47.07,47.8,106.69,132.15,220.86,0.86,25.46,0.65,12.15,28.44,0
Turkey,8.8,70.8,55.36,0.99,7.62,5.43,2.24,21.23,1.4,47.27,217.07,206.32
Ukraine,38.25,76.01,262.95,0.14,1.32,0.66,1.64,12.62,33.15,34.59,106.52,233.05
United States of America,363.03,2657.33,3079.61,11.83,36.56,59.06,72.51,480.16,920.23,217.77,287.85,505.3
Viet Nam,57.44,401.93,391.29,30.15,196.32,259.51,15.8,75.02,98.22,35.12,57.51,52.58
