,Country/Region,Country_ID,Maize_Closing Stocks,Maize_Domestic Utilization,Maize_Production,Rice_Closing Stocks,Rice_Domestic Utilization,Rice_Production,Soybean_Closing Stocks,Soybean_Domestic Utilization,Soybean_Production,Wheat_Closing Stocks,Wheat_Domestic Utilization,Wheat_Production,class
0,Argentina,1,6.7,20.6,57.0,0.03,0.5,0.81,7.1,46.9,48.7,1.2,6.3,19.5,0
1,Australia,2,0.05,0.37,0.43,0.17,0.36,0.42,0.0,0.06,0.06,4.34,8.24,30.35,0
2,Brazil,3,16.0,72.72,115.22,0.49,7.28,7.21,6.6,51.0,144.0,1.1,12.45,8.35,4
3,Canada,4,2.1,14.36,14.31,0.05,0.44,0.0,0.35,2.4,6.4,5.0,9.77,33.09,0
4,China,5,156.4,298.4,275.0,101.2,147.71,146.11,20.7,116.18,19.48,140.83,138.7,136.86,1
5,Egypt,6,1.6,17.4,7.5,0.55,4.87,4.0,0.14,4.3,0.04,2.43,21.75,9.5,0
6,European Union,7,14.25,81.18,72.78,0.44,3.24,1.55,1.2,17.69,2.94,15.0,103.3,133.0,3
7,India,8,1.34,29.8,33.0,40.3,107.31,128.91,0.95,13.97,13.6,19.0,105.41,106.41,3
8,Indonesia,9,1.8,23.89,22.7,4.7,35.79,35.17,0.24,3.42,0.85,1.9,11.15,0.0,0
9,Japan,10,2.3,15.2,0.0,3.3,8.03,7.23,0.08,3.45,0.25,1.15,6.15,0.95,0
10,Kazakhstan,11,0.54,0.81,0.95,0.02,0.29,0.33,0.04,0.32,0.28,3.33,6.34,13.2,0
11,Mexico,12,3.6,44.1,26.6,0.11,0.95,0.18,0.55,6.74,0.3,1.5,7.67,3.46,0
12,Nigeria,13,0.1,12.6,12.4,0.58,7.61,5.28,0.01,0.76,0.7,0.7,6.37,0.07,0
13,Philippines,14,0.8,9.0,8.3,2.35,16.35,13.16,0.02,0.22,0.0,1.3,6.23,0.0,0
14,Republic of Korea,15,1.04,11.96,0.09,1.4,3.93,3.79,0.0,1.41,0.11,1.0,3.97,0.02,0
15,Russian Federation,16,3.0,11.34,15.0,0.09,0.82,0.65,1.15,5.89,5.1,15.38,43.68,85.0,0
16,Saudi Arabia,17,0.35,3.59,0.09,0.4,1.25,0.0,0.0,0.8,0.0,2.03,3.84,0.65,0
17,South Africa,18,3.94,12.25,15.35,0.1,0.93,0.0,0.2,1.84,1.89,0.5,3.74,2.2,0
18,Thailand,19,0.65,6.73,5.2,8.8,13.74,21.73,0.2,4.09,0.04,1.2,2.99,0.0,0
19,Turkey,20,1.0,9.0,7.0,0.07,0.88,0.61,0.22,3.14,0.14,5.85,24.35,19.5,0
20,Ukraine,21,17.79,6.61,24.0,0.01,0.08,0.01,1.4,1.61,2.6,8.37,8.03,20.0,0
21,United Kingdom,22,0.25,2.08,0.03,0.13,0.63,0.0,0.15,0.72,0.0,2.1,14.5,13.53,0
22,United States of America,23,35.55,309.13,367.3,1.08,4.66,5.8,5.8,63.99,122.0,17.05,30.21,47.26,2
23,Viet Nam,24,0.4,14.76,4.37,3.95,23.29,27.92,0.36,2.05,0.07,1.55,4.1,0.0,0
